,Bitcoin,Ethereum,XRP,Cardano,Dogecoin,Polkadot,Avalanche,TRON,Litecoin,Bitcoin Cash
Intercept,-2.2551405187698492e-17,-6.559423143537302e-18,-1.5612511283791264e-17,2.47198095326695e-17,1.0408340855860843e-17,3.7947076036992655e-17,-1.338989683019598e-17,3.469446951953614e-18,-2.949029909160572e-17,-4.9439619065339e-17
NKY Index,0.012461611904626382,0.03597524890890512,0.0054074944239686845,0.039096992662055734,0.02929580078175264,0.03121799570231853,0.031559032860959936,0.0072329483066103425,-0.00566396710104586,0.01670944740427225
AS51 Index,0.19984302536729576,0.1577319612370715,0.19261449650111764,0.2183623882601829,0.030588112059284394,-0.0901550308129391,-0.08172503051911874,0.12156134479817941,0.201581846623602,0.2534959137615971
KOSPI Index,-0.06417293907990326,0.03797765900593644,-0.0853728921185591,-0.062064518935560094,-0.009156898128656304,0.030000654168282116,0.007912755048487806,0.09017165333558361,-0.04969792581732935,-0.09082389262523842
NIFTY Index,0.007012359027558581,0.031941363333013784,-0.10767788581627767,0.0774505194536181,-3.5419153651286214e-05,-0.0608406109064653,-0.039528935606448164,-0.019798295891425212,0.02809896386008429,-0.0818141372480731
SPX Index,0.008172871541062065,0.1285084210801208,-0.01027827116823673,0.010865052911062654,0.14513001573292403,0.10427258116944713,0.0946579433067842,-0.04891015576403804,0.01623862358422069,0.058588830426703445
ibov Index,-0.030566370087061284,-0.10343306801671981,0.00377700708424783,-0.09349173978159092,-0.02197519482419262,0.06716210784038926,0.06484424222705171,-0.010257599734089387,-0.07671482297171524,-0.08108225387650092
UKX Index,0.0920529690972756,0.08537502336179902,0.143773327139043,0.04581508021275979,-0.07465392907861168,-0.07067190620691956,-0.01624874425985211,0.02938272381590088,0.05337187631286641,0.10035900265639645
AUDJPY CURNCY,0.0662781444282532,-0.007573880106623182,0.006896603496359968,0.06522622400245093,0.08047409398166064,-0.0358497138541088,-0.0954623067038272,0.12564674180818527,0.06404479751885811,0.03212731300890505
XAG Curncy,0.038899497375131764,0.06331297415599892,0.10431213675340797,0.0197276256916801,0.14260829803821307,-0.05421783135540427,0.03793788022034997,-0.06047927830428059,0.09672148950474775,0.04931782425167053
PLAT COMDTY,0.11316951004049744,0.05480979157998336,0.04521969146251741,0.10134353148656523,-0.04147171660476885,0.11624018647107708,0.11009029248940681,0.08830324993930093,0.1066915768854957,0.07935550454955996
