,Bitcoin,Ethereum,XRP,Cardano,Dogecoin,Polkadot,Avalanche,TRON,Litecoin,Bitcoin Cash
Intercept,-3.6951841739912873e-16,-1.0988972358013007e-16,-2.4942013025844715e-16,4.0398293474257376e-16,1.6463263983787074e-16,5.889227235420046e-16,-2.0882412220572314e-16,5.553150657743695e-17,-4.820170604914525e-16,-7.998600516110811e-16
NKY Index,0.14974009277521866,0.4419739122041059,0.06335139926238527,0.4685572341468548,0.3398139507789284,0.3552927993751738,0.36093459824073876,0.08489770705942731,-0.06788992827123651,0.19824505979738205
AS51 Index,2.0106362033146876,1.6225315778040672,1.8894253049507967,2.1911784930629903,0.2970770684837726,-0.8591163451946691,-0.7826012667257156,1.1946941080239744,2.0230968475177566,2.5182096011132518
KOSPI Index,-0.6074504875462614,0.3675497211365925,-0.78790744489836,-0.5859462334156637,-0.08367183473619866,0.2689720746099212,0.07128983822100356,0.8337689371901859,-0.4692647906293247,-0.8488588407501373
NIFTY Index,0.08015825979913276,0.3733073473509022,-1.2000709196559254,0.8830064789449227,-0.0003908357399464194,-0.6587114554593921,-0.430071050442123,-0.2210694195255782,0.320401982104701,-0.9233979406248017
SPX Index,0.07560384655934568,1.2154294604325049,-0.09270124051915915,0.10024356040420712,1.2959803486805899,0.9136016108799603,0.8334263666761234,-0.4419620594431269,0.1498439406182028,0.5351314280016263
ibov Index,-0.34813207224587495,-1.2044493096353839,0.04194152552724315,-1.062010543291297,-0.24160440985945741,0.7245060211890622,0.7029307469470009,-0.11412023043999062,-0.8715658534611225,-0.9118058841352314
UKX Index,0.9268930836298636,0.8789246165723849,1.4114529932778261,0.4601036837925588,-0.7256320644043278,-0.6739942002310916,-0.15572294077601592,0.28900184619735914,0.5360743937798873,0.9977565495184729
AUDJPY CURNCY,0.7487559515930703,-0.08748172225991085,0.07596288661512776,0.7349327529240669,0.8776027935364958,-0.38359519034790623,-1.0264618747745473,1.386557553694756,0.7217296627157163,0.35836101733862213
XAG Curncy,0.4523656862984211,0.7527787170728807,1.1827058958902232,0.2288104748705904,1.6008934080228199,-0.5971800906886849,0.4199133465254444,-0.6870193804110113,1.1219910494900185,0.566273167477142
PLAT COMDTY,1.1896065126958353,0.5890619899254932,0.4634445161893748,1.062491220211934,-0.42082144603848204,1.1573046783370455,1.1014476881894286,0.9067077102530898,1.1187287088506628,0.8236209114643819
